Player,Span,Mat,Inns,NO,Runs,HS,HS-N/O?,Ave,Hundreds,Fifties,Ducks,Batting Style,Player Role
TA Boult (NZ),2011-2020,67,82,39,654,52,Yes,15.20,0,1,13,R,bowler
AA Donald (SA),1992-2002,72,94,33,652,37,No,10.68,0,0,17,R,
HJH Marshall (NZ),2000-2006,13,19,2,652,160,No,38.35,2,2,1,R,batsman
A Mishra (INDIA),2008-2016,22,32,2,648,84,No,21.60,0,4,4,R,bowler
PJ Cummins (AUS),2011-2020,30,44,6,647,63,No,17.02,0,2,7,R,bowler
KA Maharaj (SA),2016-2020,30,48,6,643,72,No,15.30,0,2,8,R,bowler
GD McGrath (AUS),1993-2007,124,138,51,641,61,No,7.36,0,1,35,R,bowler
AFG Griffith (WI),1997-2000,14,27,1,638,114,No,24.53,1,4,4,L,
Mehidy Hasan Miraz (BDESH),2016-2019,22,42,6,638,68,Yes,17.72,0,2,2,R,allrounder
MT Renshaw (AUS),2016-2018,11,20,1,636,184,No,33.47,1,3,0,L,batsman
OJ Pope (ENG),2018-2020,11,18,3,633,135,Yes,42.20,1,5,0,R,middle-order batsman
IR Bishop (WI),1989-1998,43,63,11,632,48,No,12.15,0,0,10,R,bowler
SC Cook (SA),2016-2017,11,19,0,632,117,No,33.26,3,2,3,R,opening batsman
DP Sibley (ENG),2019-2020,10,17,1,632,133,Yes,39.50,2,2,2,R,opening batsman
RG Twose (NZ),1995-1999,16,27,2,628,94,No,25.12,0,6,5,L,top-order batsman
PN Kirsten (SA),1992-1994,12,22,2,626,104,No,31.30,1,4,2,R,
M Kaif (INDIA),2000-2006,13,22,3,624,148,Yes,32.84,1,3,1,R,batsman
UDU Chandana (SL),1999-2005,16,24,1,616,92,No,26.78,0,2,0,R,bowler
TMK Mawoyo (ZIM),2011-2016,11,22,1,615,163,Yes,29.28,1,3,2,R,batsman
CS Baugh (WI),2003-2012,21,36,2,610,68,No,17.94,0,3,1,R,wicketkeeper
K Rabada (SA),2015-2020,43,64,11,606,34,No,11.43,0,0,12,L,bowler
RJ Harris (AUS),2010-2015,27,39,11,603,74,No,21.53,0,3,2,R,bowler
JJ Crowe (NZ),1986-1990,16,27,2,592,120,Yes,23.68,1,1,2,R,
Adnan Akmal (PAK),2010-2014,21,29,5,591,64,No,24.62,0,3,2,R,wicketkeeper batsman
V Sibanda (ZIM),2003-2014,14,28,0,591,93,No,21.10,0,2,3,R,opening batsman
MD Craig (NZ),2014-2016,15,25,9,589,67,No,36.81,0,3,1,L,bowler
Alok Kapali (BDESH),2002-2006,17,34,1,584,85,No,17.69,0,2,6,R,
Aftab Ahmed (BDESH),2004-2010,16,31,3,582,82,Yes,20.78,0,1,4,R,
Umar Gul (PAK),2003-2013,47,67,9,577,65,Yes,9.94,0,1,15,R,bowler
MN Waller (ZIM),2011-2017,14,28,1,577,72,Yes,21.37,0,4,4,R,batsman
A Jadeja (INDIA),1992-2000,15,24,2,576,96,No,26.18,0,4,1,R,middle-order batsman
RS Bopara (ENG),2007-2012,13,19,1,575,143,No,31.94,3,0,5,R,batting allrounder
TT Bresnan (ENG),2009-2013,23,26,4,575,91,No,26.13,0,3,3,R,allrounder
N Wagner (NZ),2012-2020,48,63,17,575,47,No,12.50,0,0,12,L,bowler
AD Hales (ENG),2015-2016,11,21,0,573,94,No,27.28,0,5,0,R,opening batsman
RS Morton (WI),2005-2008,15,27,1,573,70,Yes,22.03,0,4,1,R,batsman
AB Agarkar (INDIA),1998-2006,26,39,5,571,109,Yes,16.79,1,0,9,R,bowler
SB Doull (NZ),1992-2000,32,50,11,570,46,No,14.61,0,0,10,R,
E Chigumbura (ZIM),2004-2014,14,27,0,569,88,No,21.07,0,4,6,R,allrounder
DAJ Bracewell (NZ),2011-2016,27,45,4,568,47,No,13.85,0,0,11,R,bowler
JR Ratnayeke (SL),1986-1989,11,17,1,567,93,No,35.43,0,5,0,L,
Aamer Malik (PAK),1987-1994,14,19,3,565,117,No,35.31,2,3,3,R,
J Arun Lal (INDIA),1987-1989,12,22,1,565,93,No,26.90,0,4,0,R,
MF Maharoof (SL),2004-2011,22,34,4,556,72,No,18.53,0,3,1,R,allrounder
GP Wickramasinghe (SL),1991-2001,40,64,5,555,51,No,9.40,0,1,17,R,bowler
B Kumar (INDIA),2013-2018,21,29,4,552,63,Yes,22.08,0,3,4,R,bowler
GH Vihari (INDIA),2018-2020,9,16,1,552,111,No,36.80,1,4,1,R,batting allrounder
M Dillon (WI),1997-2004,38,68,3,549,43,No,8.44,0,0,26,R,bowler
JM Vince (ENG),2016-2018,13,22,0,548,83,No,24.90,0,3,2,R,batsman
Shoaib Akhtar (PAK),1997-2007,46,67,13,544,47,No,10.07,0,0,11,R,bowler
