Player,Span,Mat,Inns,NO,Runs,HS,HS-N/O?,Ave,Hundreds,Fifties,Ducks,Batting Style,Player Role
SR Tendulkar (INDIA),1989-2013,200,329,33,15921,248,Yes,53.78,51,68,14,R,top-order batsman
RT Ponting (AUS),1995-2012,168,287,29,13378,257,No,51.85,41,62,17,R,top-order batsman
JH Kallis (ICC/SA),1995-2013,166,280,40,13289,224,No,55.37,45,58,16,R,allrounder
R Dravid (ICC/INDIA),1996-2012,164,286,32,13288,270,No,52.31,36,63,8,R,top-order batsman
AN Cook (ENG),2006-2018,161,291,16,12472,294,No,45.35,33,57,9,L,opening batsman
KC Sangakkara (SL),2000-2015,134,233,17,12400,319,No,57.40,38,52,11,L,wicketkeeper batsman
BC Lara (ICC/WI),1990-2006,131,232,6,11953,400,Yes,52.88,34,48,17,L,batsman
S Chanderpaul (WI),1994-2015,164,280,49,11867,203,Yes,51.37,30,66,15,L,batsman
DPMD Jayawardene (SL),1997-2014,149,252,15,11814,374,No,49.84,34,50,15,R,batsman
SR Waugh (AUS),1986-2004,167,258,46,10909,200,No,51.45,32,50,22,R,middle-order batsman
Younis Khan (PAK),2000-2017,118,213,19,10099,313,No,52.05,34,33,19,R,middle-order batsman
HM Amla (SA),2004-2019,124,215,16,9282,311,Yes,46.64,28,41,13,R,top-order batsman
GC Smith (ICC/SA),2002-2014,117,205,13,9265,277,No,48.25,27,38,11,L,opening batsman
Inzamam-ul-Haq (ICC/PAK),1992-2007,120,200,22,8830,329,No,49.60,25,46,15,R,batsman
VVS Laxman (INDIA),1996-2012,134,225,34,8781,281,No,45.97,17,56,14,R,top-order batsman
AB de Villiers (SA),2004-2018,114,191,18,8765,278,Yes,50.66,22,46,8,R,wicketkeeper batsman
MJ Clarke (AUS),2004-2015,115,198,22,8643,329,Yes,49.10,28,27,9,R,middle-order batsman
ML Hayden (AUS),1994-2009,103,184,14,8625,380,No,50.73,30,29,14,L,opening batsman
V Sehwag (ICC/INDIA),2001-2013,104,180,6,8586,319,No,49.34,23,32,16,R,top-order batsman
AJ Stewart (ENG),1990-2003,133,235,21,8463,190,No,39.54,15,45,14,R,wicketkeeper batsman
KP Pietersen (ENG),2005-2014,104,181,8,8181,227,No,47.28,23,35,10,R,top-order batsman
ME Waugh (AUS),1991-2002,128,209,17,8029,153,Yes,41.81,20,47,19,R,allrounder
JE Root (ENG),2012-2020,95,175,13,7785,254,No,48.05,17,49,8,R,top-order batsman
MA Atherton (ENG),1989-2001,115,212,7,7728,185,Yes,37.69,16,46,20,R,opening batsman
IR Bell (ENG),2004-2015,118,205,24,7727,235,No,42.69,22,46,14,R,top-order batsman
JL Langer (AUS),1993-2007,105,182,12,7696,250,No,45.27,23,30,11,L,opening batsman
Mohammad Yousuf (PAK),1998-2010,90,156,12,7530,223,No,52.29,24,33,11,R,batsman
MA Taylor (AUS),1989-1999,104,186,13,7525,334,Yes,43.49,19,40,5,L,opening batsman
G Kirsten (SA),1993-2004,101,176,15,7289,275,No,45.27,21,34,13,L,
DA Warner (AUS),2011-2020,84,155,7,7244,335,Yes,48.94,24,30,9,L,opening batsman
V Kohli (INDIA),2011-2020,86,145,10,7240,254,Yes,53.62,27,22,10,R,top-order batsman
LRPL Taylor (NZ),2007-2020,101,178,21,7238,290,No,46.10,19,33,14,R,middle-order batsman
SPD Smith (AUS),2010-2020,73,131,16,7227,239,No,62.84,26,29,4,R,middle-order batsman
CH Gayle (WI),2000-2014,103,182,11,7214,333,No,42.18,15,37,15,L,allrounder
SC Ganguly (INDIA),1996-2008,113,188,17,7212,239,No,42.17,16,35,13,L,batsman
SP Fleming (NZ),1994-2008,111,189,10,7172,274,Yes,40.06,9,46,16,L,top-order batsman
AJ Strauss (ENG),2004-2012,100,178,6,7037,177,No,40.91,21,27,15,L,opening batsman
ST Jayasuriya (SL),1991-2007,110,188,14,6973,340,No,40.07,14,31,15,L,allrounder
DC Boon (AUS),1986-1996,95,168,19,6824,200,No,45.79,20,28,15,R,top-order batsman
GP Thorpe (ENG),1993-2005,100,179,28,6744,200,Yes,44.66,16,39,12,L,
KS Williamson (NZ),2010-2020,80,140,13,6476,242,Yes,50.99,21,32,9,R,top-order batsman
BB McCullum (NZ),2004-2016,101,176,9,6453,302,No,38.64,12,31,14,R,wicketkeeper batsman
MEK Hussey (AUS),2005-2013,79,137,16,6235,195,No,51.52,19,29,12,L,middle-order batsman
HH Gibbs (SA),1996-2008,90,154,7,6167,228,No,41.95,14,26,11,R,
AD Mathews (SL),2009-2020,86,154,22,5981,200,Yes,45.31,10,35,2,R,allrounder
Azhar Ali (PAK),2010-2020,79,149,8,5937,302,Yes,42.10,16,31,15,R,top-order batsman
PA de Silva (SL),1986-2002,86,146,10,5924,267,No,43.55,18,21,7,R,
GA Gooch (ENG),1986-1995,70,131,2,5873,333,No,45.52,15,29,8,R,top-order batsman
RR Sarwan (WI),2000-2011,87,154,8,5842,291,No,40.01,15,31,12,R,batsman
CA Pujara (INDIA),2010-2020,77,128,8,5840,206,Yes,48.66,18,25,7,R,top-order batsman
ME Trescothick (ENG),2000-2006,76,143,10,5825,219,No,43.79,14,29,12,L,opening batsman
N Hussain (ENG),1990-2004,96,171,16,5764,207,No,37.18,14,33,14,R,top-order batsman
CL Hooper (WI),1987-2002,102,173,15,5762,233,No,36.46,13,27,13,R,
MP Vaughan (ENG),1999-2008,82,147,9,5719,197,No,41.44,18,18,9,R,
M Azharuddin (INDIA),1986-2000,91,134,8,5610,199,No,44.52,19,20,4,R,middle-order batsman
AC Gilchrist (AUS),1999-2008,96,137,20,5570,204,Yes,47.60,17,26,14,L,wicketkeeper batsman
MV Boucher (ICC/SA),1997-2012,147,206,24,5515,125,No,30.30,5,35,17,R,wicketkeeper batsman
MS Atapattu (SL),1990-2007,90,156,15,5502,249,No,39.02,16,17,22,R,batsman
TM Dilshan (SL),1999-2013,87,145,11,5492,193,No,40.98,16,23,14,R,allrounder
TT Samaraweera (SL),2001-2013,81,132,20,5462,231,No,48.76,14,30,11,R,batsman
AR Border (AUS),1986-1994,79,129,21,5340,205,No,49.44,11,33,7,L,middle-order batsman
MJ Slater (AUS),1993-2001,74,131,7,5312,219,No,42.83,14,21,9,R,opening batsman
Misbah-ul-Haq (PAK),2001-2017,75,132,20,5222,161,Yes,46.62,10,39,9,R,middle-order batsman
RB Richardson (WI),1986-1995,71,124,11,4982,194,No,44.08,12,24,5,R,batsman
MS Dhoni (INDIA),2005-2014,90,144,16,4876,224,No,38.09,6,33,10,R,wicketkeeper batsman
A Flower (ZIM),1992-2002,63,112,19,4794,232,Yes,51.54,12,27,5,L,
NJ Astle (NZ),1996-2006,81,137,10,4702,222,No,37.02,11,24,11,R,opening batsman
Asad Shafiq (PAK),2010-2020,75,125,6,4629,137,No,38.89,12,27,13,R,middle-order batsman
DJ Cullinan (SA),1993-2001,70,115,12,4554,275,Yes,44.21,14,20,10,R,
HP Tillakaratne (SL),1989-2004,83,131,25,4545,204,Yes,42.87,11,20,9,L,batsman
DL Vettori (ICC/NZ),1997-2014,113,174,23,4531,140,No,30.00,6,23,20,L,allrounder
FDM Karunaratne (SL),2012-2020,66,128,5,4524,196,No,36.78,9,24,12,L,opening batsman
Saleem Malik (PAK),1986-1999,76,118,16,4500,237,No,44.11,10,23,9,R,batsman
BA Stokes (ENG),2013-2020,67,122,5,4428,258,No,37.84,10,22,13,L,allrounder
Mushfiqur Rahim (BDESH),2005-2020,70,130,10,4413,219,Yes,36.77,7,21,11,R,wicketkeeper batsman
DR Martyn (AUS),1992-2006,67,109,14,4406,165,No,46.37,13,23,7,R,top-order batsman
Tamim Iqbal (BDESH),2008-2020,60,115,1,4405,206,No,38.64,9,27,8,L,opening batsman
IA Healy (AUS),1988-1999,119,182,23,4356,161,Yes,27.39,4,22,18,R,wicketkeeper batsman
MA Butcher (ENG),1997-2004,71,131,7,4288,173,Yes,34.58,8,23,10,L,
PD Collingwood (ENG),2003-2011,68,115,10,4259,206,No,40.56,10,20,6,R,allrounder
DL Haynes (WI),1986-1994,62,114,18,4253,167,No,44.30,11,19,6,R,
RA Smith (ENG),1988-1996,62,112,15,4236,175,No,43.67,9,28,8,R,
A Ranatunga (SL),1986-2000,78,127,11,4230,135,Yes,36.46,3,32,9,L,batsman
AM Rahane (INDIA),2013-2020,65,109,11,4203,188,No,42.88,11,22,6,R,top-order batsman
SM Katich (AUS),2001-2010,56,99,6,4188,157,No,45.03,10,25,4,L,batsman
G Gambhir (INDIA),2004-2016,58,104,5,4154,206,No,41.95,9,22,7,L,top-order batsman
MJ Prior (ENG),2007-2014,79,123,21,4099,131,Yes,40.18,7,28,13,R,wicketkeeper batsman
Saeed Anwar (PAK),1990-2001,55,91,2,4052,188,Yes,45.52,11,25,8,L,opening batsman
JM Bairstow (ENG),2012-2019,70,123,7,4030,167,Yes,34.74,6,21,10,R,wicketkeeper batsman
MD Crowe (NZ),1986-1995,51,88,9,4022,299,No,50.91,14,13,4,R,middle-order batsman
M Vijay (INDIA),2008-2018,61,105,1,3982,167,No,38.28,12,15,8,R,opening batsman
MN Samuels (WI),2000-2016,71,127,7,3917,260,No,32.64,7,24,14,R,top-order batsman
F du Plessis (SA),2012-2020,65,112,14,3901,137,No,39.80,9,21,9,R,middle-order batsman
D Elgar (SA),2012-2020,63,110,9,3888,199,No,38.49,12,14,10,L,opening batsman
LD Chandimal (SL),2011-2020,57,103,8,3877,164,No,40.81,11,18,4,R,wicketkeeper batsman
Shakib Al Hasan (BDESH),2007-2019,56,105,7,3862,217,No,39.40,5,24,4,L,allrounder
A Flintoff (ENG/ICC),1998-2009,79,130,9,3845,167,No,31.77,5,26,17,R,allrounder
IJL Trott (ENG),2009-2015,52,93,6,3835,226,No,44.08,9,19,8,R,top-order batsman
SM Pollock (SA),1995-2008,108,156,39,3781,111,No,32.31,2,16,9,R,allrounder
SR Watson (AUS),2005-2015,59,109,3,3731,176,No,35.19,4,24,6,R,allrounder
TWM Latham (NZ),2014-2020,52,92,4,3726,264,Yes,42.34,11,18,8,L,wicketkeeper batsman
WJ Cronje (SA),1992-2000,68,111,9,3714,135,No,36.41,6,23,11,R,
KC Brathwaite (WI),2011-2020,62,118,7,3672,212,No,33.08,8,19,12,R,opening batsman
AG Prince (SA),2002-2011,66,104,16,3665,162,Yes,41.64,11,11,7,L,
BJ Watling (NZ),2009-2020,70,110,15,3658,205,No,38.50,8,18,10,R,wicketkeeper batsman
Mohammad Hafeez (PAK),2003-2018,55,105,8,3652,224,No,37.64,10,12,8,R,allrounder
DM Jones (AUS),1986-1992,50,85,11,3566,216,No,48.18,11,14,11,R,top-order batsman
DM Bravo (WI),2010-2019,54,98,5,3506,218,No,37.69,8,17,5,L,top-order batsman
Javed Miandad (PAK),1986-1993,53,78,4,3482,271,No,47.05,9,15,3,R,batsman
GW Flower (ZIM),1992-2004,67,123,6,3457,201,Yes,29.54,6,15,16,R,
GA Hick (ENG),1991-2001,65,114,6,3383,178,No,31.32,6,18,11,R,middle-order batsman
SCJ Broad (ENG),2007-2020,141,207,33,3320,169,No,19.08,1,13,35,L,bowler
CL Cairns (NZ),1989-2004,62,104,5,3320,158,No,33.53,5,22,7,R,allrounder
Ijaz Ahmed (PAK),1987-2001,60,92,4,3315,211,No,37.67,12,12,7,R,batsman
BJ Haddin (AUS),2008-2015,66,112,13,3266,169,No,32.98,4,18,8,R,wicketkeeper batsman
ND McKenzie (SA),2000-2009,58,94,7,3253,226,No,37.39,5,16,9,R,
NS Sidhu (INDIA),1988-1999,49,75,2,3163,201,No,43.32,9,15,9,R,opening batsman
SK Warne (AUS),1992-2007,145,199,17,3154,99,No,17.32,0,12,34,R,bowler
CD McMillan (NZ),1997-2005,55,91,10,3116,142,No,38.46,6,19,7,R,batsman
WPUJC Vaas (SL),1994-2009,111,162,35,3089,100,Yes,24.32,1,13,12,L,bowler
Habibul Bashar (BDESH),2000-2008,50,99,1,3026,113,No,30.87,3,24,7,R,top-order batsman
JG Wright (NZ),1986-1993,38,72,5,3019,185,No,45.05,8,14,4,L,opening batsman
JC Adams (WI),1992-2001,54,90,17,3012,208,Yes,41.26,6,14,7,L,allrounder
BKG Mendis (SL),2015-2020,44,85,4,2995,196,No,36.97,7,11,7,R,wicketkeeper batsman
Taufeeq Umar (PAK),2001-2014,44,83,5,2963,236,No,37.98,7,14,6,L,batsman
Q de Kock (SA),2014-2020,47,80,5,2934,129,Yes,39.12,5,21,5,L,wicketkeeper batsman
AH Jones (NZ),1987-1995,39,74,8,2922,186,No,44.27,7,11,2,R,top-order batsman
D Ramdin (WI),2005-2016,74,126,14,2898,166,No,25.87,4,15,9,R,wicketkeeper batsman
UT Khawaja (AUS),2011-2019,44,77,6,2887,174,No,40.66,8,14,4,L,top-order batsman
SL Campbell (WI),1995-2002,52,93,4,2882,208,No,32.38,4,18,7,R,
Wasim Akram (PAK),1986-2002,99,141,15,2880,257,Yes,22.85,3,7,16,L,bowler
AC Parore (NZ),1990-2002,78,128,19,2865,110,No,26.28,2,14,6,R,
Mominul Haque (BDESH),2013-2020,40,74,4,2860,181,No,40.85,9,13,8,L,middle-order batsman
ADR Campbell (ZIM),1992-2002,60,109,4,2858,103,No,27.21,2,18,10,L,
DI Gower (ENG),1986-1992,41,75,7,2846,157,Yes,41.85,6,14,1,L,top-order batsman
Aamer Sohail (PAK),1992-2000,47,83,3,2823,205,No,35.28,5,13,6,L,batsman
GR Marsh (AUS),1986-1992,48,89,6,2798,138,No,33.71,4,15,3,R,
MM Ali (ENG),2014-2019,60,104,8,2782,155,Yes,28.97,5,14,14,L,batting allrounder
MH Richardson (NZ),2000-2004,38,65,3,2776,145,No,44.77,4,19,1,L,
Mahmudullah (BDESH),2009-2020,49,93,6,2764,146,No,31.77,4,16,11,R,allrounder
Ramiz Raja (PAK),1986-1997,54,89,4,2747,122,No,32.31,2,21,7,R,batsman
CG Greenidge (WI),1986-1991,42,74,3,2742,226,No,38.61,7,8,3,R,
Moin Khan (PAK),1990-2004,69,104,8,2741,137,No,28.55,4,15,5,R,wicketkeeper batsman
Mohammad Ashraful (BDESH),2001-2013,61,119,5,2737,190,No,24.00,6,8,16,R,middle-order batsman
Sarfaraz Ahmed (PAK),2010-2019,49,86,13,2657,112,No,36.39,3,18,4,R,wicketkeeper batsman
IVA Richards (WI),1986-1991,44,66,5,2651,146,No,43.45,5,20,4,R,
Kamran Akmal (PAK),2002-2010,53,92,6,2648,158,Yes,30.79,6,12,14,R,wicketkeeper batsman
JA Rudolph (SA),2003-2012,48,83,9,2622,222,Yes,35.43,6,11,8,L,
WW Hinds (WI),2000-2005,45,80,1,2608,213,No,33.01,5,14,6,L,batsman
MJ Guptill (NZ),2009-2016,47,89,1,2586,189,No,29.38,3,17,10,R,opening batsman
RD Jacobs (WI),1998-2004,65,112,21,2577,118,No,28.31,3,14,12,L,wicketkeeper batsman
RS Mahanama (SL),1986-1998,52,89,1,2576,225,No,29.27,4,11,7,R,batsman
GS Blewett (AUS),1995-2000,46,79,4,2552,214,No,34.02,4,15,6,R,
JN Rhodes (SA),1992-2000,52,80,9,2532,117,No,35.66,3,17,4,R,
A Kumble (INDIA),1990-2008,132,173,32,2506,110,Yes,17.77,1,5,17,R,bowler
Shoaib Mohammad (PAK),1987-1995,39,59,6,2492,203,Yes,47.01,7,12,6,R,
KR Rutherford (NZ),1986-1995,52,92,8,2453,107,Yes,29.20,3,18,13,R,top-order batsman
AJ Lamb (ENG),1986-1992,41,75,4,2445,142,No,34.43,7,9,6,R,middle-order batsman
AP Gurusinha (SL),1986-1996,40,68,7,2423,143,No,39.72,7,8,3,L,
Imran Farhat (PAK),2001-2013,40,77,2,2400,128,No,32.00,3,14,3,L,
JC Buttler (ENG),2014-2020,45,80,6,2391,106,No,32.31,1,17,6,R,wicketkeeper batsman
R Ashwin (INDIA),2011-2020,71,98,13,2389,124,No,28.10,4,11,4,R,bowling allrounder
MR Ramprakash (ENG),1991-2002,52,92,6,2350,154,No,27.32,2,12,12,R,
S Dhawan (INDIA),2013-2018,34,58,1,2315,190,No,40.61,7,5,4,L,opening batsman
DB Vengsarkar (INDIA),1986-1992,35,52,9,2280,166,No,53.02,8,10,4,R,
SE Marsh (AUS),2011-2019,38,68,2,2265,182,No,34.31,6,10,10,L,top-order batsman
N Kapil Dev (INDIA),1986-1994,58,75,6,2239,163,No,32.44,5,10,5,R,
Harbhajan Singh (INDIA),1998-2015,103,145,23,2224,115,No,18.22,2,9,19,R,bowler
H Masakadza (ZIM),2001-2018,38,76,2,2223,158,No,30.04,5,8,10,R,top-order batsman
GJ Whittall (ZIM),1993-2002,46,82,7,2207,203,Yes,29.42,4,10,6,R,
DJ Bravo (WI),2004-2010,40,71,1,2200,113,No,31.42,3,13,6,R,allrounder
MW Gatting (ENG),1986-1995,38,68,4,2163,183,Yes,33.79,6,8,10,R,
D Ganga (WI),1998-2008,48,86,2,2160,135,No,25.71,3,9,9,R,batsman
RG Sharma (INDIA),2013-2019,32,53,7,2141,212,No,46.54,6,10,4,R,top-order batsman
HAPW Jayawardene (SL),2000-2015,58,83,11,2124,154,Yes,29.50,4,5,9,R,
JP Duminy (SA),2008-2017,46,74,10,2103,166,No,32.85,6,8,9,L,batting allrounder
JK Silva (SL),2011-2018,39,74,0,2099,139,No,28.36,3,12,6,R,wicketkeeper batsman
AN Petersen (SA),2010-2015,36,64,4,2093,182,No,34.88,5,8,3,R,batsman
MG Johnson (AUS),2007-2015,73,109,16,2065,123,Yes,22.20,1,11,19,L,bowler
BRM Taylor (ZIM),2004-2020,31,62,4,2055,171,No,35.43,6,10,3,R,wicketkeeper batsman
SV Manjrekar (INDIA),1987-1996,37,61,6,2043,218,No,37.14,4,9,3,R,top-order batsman
BA Young (NZ),1993-1999,35,68,4,2034,267,Yes,31.78,2,12,5,R,
MJ Greatbatch (NZ),1988-1996,41,71,5,2021,146,Yes,30.62,3,10,9,L,opening batsman
CJL Rogers (AUS),2008-2015,25,48,1,2015,173,No,42.87,5,14,1,L,opening batsman
JO Holder (WI),2014-2020,43,75,12,2012,202,Yes,31.93,3,8,3,R,bowling allrounder
KOA Powell (WI),2011-2018,40,76,1,2011,134,No,26.81,3,6,7,L,opening batsman
AC Hudson (SA),1992-1998,35,63,3,2007,163,No,33.45,4,13,7,R,
KL Rahul (INDIA),2014-2019,36,60,2,2006,199,No,34.58,5,11,6,R,opening batsman
HH Streak (ZIM),1993-2005,65,107,18,1990,127,Yes,22.35,1,11,15,R,
AL Logie (WI),1987-1991,39,61,8,1977,101,No,37.30,1,13,3,R,
BM McMillan (SA),1992-1998,38,62,12,1968,113,No,39.36,3,13,3,R,
Abdul Razzaq (PAK),1999-2006,46,77,9,1946,134,No,28.61,3,7,4,R,allrounder
W Jaffer (INDIA),2000-2008,31,58,1,1944,212,No,34.10,5,11,6,R,top-order batsman
RS Kaluwitharana (SL),1992-2004,49,78,4,1933,132,Yes,26.12,3,9,5,R,
Babar Azam (PAK),2016-2020,27,50,7,1924,143,No,44.74,5,14,6,R,batsman
N Dickwella (SL),2014-2020,37,66,4,1921,83,No,30.98,0,15,3,L,wicketkeeper batsman
L Klusener (SA),1996-2004,49,69,11,1906,174,No,32.86,4,8,4,L,allrounder
RJ Shastri (INDIA),1986-1992,41,60,6,1906,206,No,35.29,6,4,4,R,
Yuvraj Singh (INDIA),2003-2012,40,62,6,1900,169,No,33.92,3,11,7,L,middle-order batsman
Shoaib Malik (PAK),2001-2015,35,60,6,1898,245,No,35.14,3,8,6,R,allrounder
RC Russell (ENG),1988-1998,54,86,16,1897,128,Yes,27.10,2,6,8,L,
Salman Butt (PAK),2003-2010,33,62,0,1889,122,No,30.46,3,10,6,L,batsman
RA Jadeja (INDIA),2012-2020,49,71,18,1869,100,Yes,35.26,1,14,4,L,allrounder
DM de Silva (SL),2016-2020,31,57,4,1863,173,No,35.15,6,6,6,R,allrounder
RL Chase (WI),2016-2020,35,64,4,1852,137,Yes,30.86,5,8,6,R,allrounder
T Bavuma (SA),2014-2020,40,67,7,1845,102,Yes,30.75,1,13,7,R,middle-order batsman
RP Arnold (SL),1997-2004,44,69,4,1821,123,No,28.01,3,10,7,L,
JP Crawley (ENG),1994-2003,37,61,9,1800,156,Yes,34.61,4,9,4,R,
DS Lehmann (AUS),1998-2004,27,42,2,1798,177,No,44.95,5,10,2,L,top-order batsman
Imrul Kayes (BDESH),2008-2019,39,76,2,1797,150,No,24.28,3,4,4,L,opening batsman
NT Paranavitana (SL),2009-2012,32,60,5,1792,111,No,32.58,2,11,9,L,opening batsman
MJ Horne (NZ),1997-2003,35,65,2,1788,157,No,28.38,4,5,4,R,
JDP Oram (NZ),2002-2009,33,59,10,1780,133,No,36.32,5,6,4,L,allrounder
VD Philander (SA),2011-2020,64,94,20,1779,74,No,24.04,0,8,8,R,allrounder
DS Smith (WI),2003-2018,43,76,2,1760,108,No,23.78,1,8,7,L,opening batsman
WU Tharanga (SL),2005-2017,31,58,3,1754,165,No,31.89,3,8,6,L,batsman
HM Nicholls (NZ),2016-2020,33,50,6,1747,162,Yes,39.70,5,9,4,L,top-order batsman
Javed Omar (BDESH),2001-2007,40,80,2,1720,119,No,22.05,1,8,5,R,opening batsman
HH Dippenaar (SA),1999-2007,38,62,5,1718,177,Yes,30.14,3,7,8,R,
Shahid Afridi (PAK),1998-2010,27,48,1,1716,156,No,36.51,5,8,6,R,allrounder
Imran Khan (PAK),1986-1992,34,47,13,1715,136,No,50.44,4,10,4,R,allrounder
HMRKB Herath (SL),1999-2018,93,144,28,1699,80,Yes,14.64,0,3,23,L,bowler
TG Southee (NZ),2008-2020,73,106,10,1668,77,Yes,17.37,0,5,10,R,bowler
MS Sinclair (NZ),1999-2010,33,56,5,1635,214,No,32.05,3,4,4,R,
SV Carlisle (ZIM),1995-2005,37,66,6,1615,118,No,26.91,2,8,7,R,
SD Hope (WI),2015-2020,34,64,3,1603,147,No,26.27,2,5,2,R,wicketkeeper batsman
SB Styris (NZ),2002-2007,29,48,4,1586,170,No,36.04,5,6,5,R,allrounder
J Blackwood (WI),2014-2020,31,55,4,1573,112,Yes,30.84,1,12,6,R,middle-order batsman
SO Dowrich (WI),2015-2020,34,62,8,1570,125,Yes,29.07,3,9,8,R,wicketkeeper batsman
PJL Dujon (WI),1986-1991,48,71,7,1558,106,Yes,24.34,1,8,6,R,
T Taibu (ZIM),2001-2012,28,54,3,1546,153,No,30.31,1,12,5,R,wicketkeeper batsman
PJ Hughes (AUS),2009-2013,26,49,2,1535,160,No,32.65,3,7,6,L,opening batsman
MA Starc (AUS),2011-2020,57,85,17,1515,99,No,22.27,0,10,11,L,bowler
M Prabhakar (INDIA),1989-1995,37,54,8,1514,120,No,32.91,1,9,3,R,
GS Ballance (ENG),2014-2017,23,42,2,1498,156,No,37.45,4,7,3,L,middle-order batsman
Yasir Hameed (PAK),2003-2010,25,49,3,1491,170,No,32.41,2,8,1,R,
AC Voges (AUS),2015-2016,20,31,7,1485,269,Yes,61.87,5,4,2,R,top-order batsman
DL Houghton (ZIM),1992-1997,22,36,2,1464,266,No,43.05,4,4,0,R,
A Symonds (AUS),2004-2008,26,41,5,1462,162,Yes,40.61,2,10,4,R,allrounder
M Labuschagne (AUS),2018-2020,14,23,0,1459,215,No,63.43,4,8,1,R,batting allrounder
B Lee (AUS),1999-2008,76,90,18,1451,64,No,20.15,0,5,14,R,bowler
NR Mongia (INDIA),1994-2001,44,68,8,1442,152,No,24.03,1,6,6,R,wicketkeeper
MS Wade (AUS),2012-2020,32,55,9,1440,117,No,31.30,4,5,2,L,wicketkeeper batsman
CEL Ambrose (WI),1988-2000,98,145,29,1439,53,No,12.40,0,1,26,L,bowler
AK Markram (SA),2017-2019,20,37,0,1424,152,No,38.48,4,6,5,R,opening batsman
AF Giles (ENG),1998-2006,54,81,13,1421,59,No,20.89,0,4,9,R,
MW Goodwin (ZIM),1998-2000,19,37,4,1414,166,Yes,42.84,3,8,4,R,top-order batsman
K Srikkanth (INDIA),1986-1992,30,50,2,1412,123,No,29.41,2,7,5,R,
Khaled Mashud (BDESH),2000-2007,44,84,10,1409,103,Yes,19.04,1,3,11,R,wicketkeeper batsman
HDRL Thirimanne (SL),2011-2019,35,68,6,1404,155,Yes,22.64,1,6,9,L,top-order batsman
KLT Arthurton (WI),1988-1995,33,50,5,1382,157,Yes,30.71,2,8,8,L,batsman
Rashid Latif (PAK),1992-2003,37,57,9,1381,150,No,28.77,1,7,4,R,
BC Broad (ENG),1986-1989,20,35,2,1380,162,No,41.81,6,4,2,L,
JA Burns (AUS),2014-2020,21,36,0,1379,180,No,38.30,4,6,5,R,batsman
GP Swann (ENG),2008-2013,60,76,14,1370,85,No,22.09,0,5,5,R,bowler
S Ramesh (INDIA),1999-2001,19,37,1,1367,143,No,37.97,2,8,3,L,
DJ Richardson (SA),1992-1998,42,64,8,1359,109,No,24.26,1,8,7,R,
Shan Masood (PAK),2013-2020,21,40,0,1345,156,No,33.62,4,6,4,L,opening batsman
L Vincent (NZ),2001-2007,23,40,1,1332,224,No,34.15,3,9,4,R,batsman
TD Paine (AUS),2010-2020,31,50,8,1330,92,No,31.66,0,7,4,R,wicketkeeper batsman
GRJ Matthews (AUS),1986-1993,23,36,6,1329,130,No,44.30,2,10,2,L,allrounder
SS Das (INDIA),2000-2002,23,40,2,1326,110,No,34.89,2,9,3,R,
DJG Sammy (WI),2007-2013,38,63,2,1323,106,No,21.68,1,5,8,R,allrounder
N Boje (SA),2000-2006,43,62,10,1312,85,No,25.23,0,4,5,L,bowler
KS More (INDIA),1986-1993,49,64,14,1285,73,No,25.70,0,7,7,R,
CR Woakes (ENG),2013-2020,36,59,12,1281,137,Yes,27.25,1,5,8,R,allrounder
UC Hathurusingha (SL),1991-1999,26,44,1,1274,83,No,29.62,0,8,2,R,
JD Ryder (NZ),2008-2011,18,33,2,1269,201,No,40.93,3,6,4,L,allrounder
Shahriar Nafees (BDESH),2005-2013,24,48,0,1267,138,No,26.39,1,7,4,L,top-order batsman
M Muralitharan (ICC/SL),1992-2010,133,164,56,1261,67,No,11.67,0,1,33,R,bowler
MR Marsh (AUS),2014-2019,32,55,5,1260,181,No,25.20,2,3,6,R,allrounder
JE Emburey (ENG),1986-1995,36,57,12,1257,75,No,27.93,0,9,9,R,
DW Steyn (SA),2004-2019,93,119,27,1251,76,No,13.59,0,2,14,R,bowler
WP Saha (INDIA),2010-2019,37,50,9,1238,117,No,30.19,3,5,6,R,wicketkeeper batsman
Z Khan (INDIA),2000-2014,92,127,24,1231,75,No,11.95,0,3,29,R,bowler
RJ Burns (ENG),2018-2020,19,36,0,1227,133,No,34.08,2,8,1,L,top-order batsman
DD Ebrahim (ZIM),2001-2005,29,55,1,1225,94,No,22.68,0,10,8,R,
JN Gillespie (AUS),1996-2006,71,93,28,1218,201,Yes,18.73,1,2,13,R,bowler
JM Anderson (ENG),2003-2020,154,216,90,1217,81,No,9.65,0,1,26,L,bowler
CR Ervine (ZIM),2011-2020,18,36,2,1208,160,No,35.52,3,4,2,L,middle-order batsman
MDK Perera (SL),2014-2019,41,73,8,1208,95,No,18.58,0,6,13,R,allrounder
DN Patel (NZ),1987-1997,37,66,8,1200,99,No,20.68,0,5,10,R,middle-order batsman
C de Grandhomme (NZ),2016-2020,24,36,4,1185,105,No,37.03,1,8,4,R,allrounder
SC Williams (WI),1994-2002,31,52,3,1183,128,No,24.14,1,3,6,R,batsman
MTG Elliott (AUS),1996-2004,21,36,1,1172,199,No,33.48,3,4,5,L,opening batsman
GO Jones (ENG),2004-2006,34,53,4,1172,100,No,23.91,1,6,2,R,
MJ North (AUS),2009-2010,21,35,2,1171,128,No,35.48,5,4,5,L,middle-order batsman
PM Siddle (AUS),2008-2019,67,94,15,1164,51,No,14.73,0,2,17,R,bowler
